name,description,section
BASIC PUFFER JACKET,puffer jacket made of tearresistant ripstop fabric high collar and adjustable long sleeves with adhesive straps welt pockets at hip adjustable hem with side elastics front zip closure,MAN
TUXEDO JACKET,straight fit blazer pointed lapel collar and long sleeves with buttoned cuffs welt pockets at hip and interior pocket central back vent at hem front button closure,MAN
SLIM FIT SUIT JACKET,slim fit jacket notched lapel collar long sleeves with buttoned cuffs welt pocket at chest and flap pockets at hip interior pocket back vents front button closure,MAN
STRETCH SUIT JACKET,slim fit jacket made of viscose blend fabric notched lapel collar long sleeves with buttoned cuffs welt pocket at chest and flap pockets at hip interior pocket back vents front button closure,MAN
DOUBLE FACED JACKET,jacket made of faux leather faux shearling with fleece interior tabbed lapel collar long sleeves zip pockets at hip front zip closure,MAN
CONTRASTING COLLAR JACKET,relaxed fit jacket contrasting lapel collar and long sleeves with buttoned cuffs front pouch pockets interior pocket washed effect front zip closure,MAN
FAUX LEATHER PUFFER JACKET,faux leather puffer jacket high collar and long sleeves with ribbed interior cuffs welt pockets at hip interior pocket adjustable hem with side elastics front zip closure,MAN
SUIT JACKET IN 100% LINEN,straight fit blazer made of linen notched lapel collar and long sleeves with buttoned cuffs welt pocket at chest and flap pockets at hip interior pocket back vents front button closure,MAN
100% WOOL SUIT JACKET,jacket made of italian wool pointed lapel collar and long sleeves with buttoned cuffs welt pocket at chest and flap pockets at hip interior pocket back vents front button closure,MAN
100% FEATHER FILL PUFFER JACKET,puffer jacket made of shiny finish technical fabric fill is a blend of down and feathers high collar with adjustable hood and long sleeves with elastic cuffs welt pockets at hip and interior pocket adjustable hem with side elastics front zip closure,MAN
HERRINGBONE TEXTURED JACKET,jacket made of wool blend fabric lapel collar and long sleeves welt pockets at hip front zip closure,MAN
OVERSIZED CROPPED JACKET LIMITED EDITION,oversized cropped jacket notched lapel collar and long sleeves with buttoned cuffs flap pockets at waist ad interior pocket front button closure,MAN
LEATHER BIKER JACKET,jacket with lapel collar and snap button details long sleeves with zip cuffs front zip pockets and interior pocket asymmetric front closure with metal zipper,MAN
CROPPED LEATHER JACKET,leather jacket cropped length lapel collar and long sleeves front hidden inseam pockets front zip closure,MAN
FAUX LEATHER BOXY FIT JACKET,boxy fit jacket lapel collar and long sleeves with buttoned cuffs welt pockets at hip front button closure,MAN
FAUX LEATHER JACKET,jacket made of faux leather fabric lapel collar with snap button details long sleeves with zip cuffs front zip pockets at chest and hip interior pocket asymmetric front closure with metal zipper,MAN
FAUX SUEDE BOMBER JACKET,jacket made of faux suede fabric ribbed elastic high collar and long sleeve welt pockets at hip rib trim front zip closure,MAN
