Model,Index,Similarity,Text,Semantic_Score
word2vec_lemmatized_cbow_win2_dim100.model,160,0.99919254,relaxed fit overshirt lapel collar and long sleeves chest patch pocket front snap button closure,5
word2vec_lemmatized_cbow_win2_dim100.model,88,0.9990461,boxy fit jacket lapel collar and long sleeves with buttoned cuffs patch pockets at hip washed effectasymmetric hem with side vents front button closure,4
word2vec_lemmatized_cbow_win2_dim100.model,154,0.9990098,relaxed fit reversible overshirt italian collar and long sleeves with buttoned cuffs chest patch pocket front button closure,5
word2vec_lemmatized_cbow_win2_dim100.model,60,0.99888337,jacket made of cotton denim lapel collar and long sleeves with buttoned cuffs patch pockets at chest and side pockets at hip washed effect front zip closure,4
word2vec_lemmatized_cbow_win2_dim100.model,2130,0.9985398,shirt with lapel collar and long sleeves tailored waist with side gathers front button closure,3
word2vec_lemmatized_cbow_win2_dim300.model,160,0.99944925,relaxed fit overshirt lapel collar and long sleeves chest patch pocket front snap button closure,5
word2vec_lemmatized_cbow_win2_dim300.model,154,0.99938935,relaxed fit reversible overshirt italian collar and long sleeves with buttoned cuffs chest patch pocket front button closure,5
word2vec_lemmatized_cbow_win2_dim300.model,60,0.99937314,jacket made of cotton denim lapel collar and long sleeves with buttoned cuffs patch pockets at chest and side pockets at hip washed effect front zip closure,4
word2vec_lemmatized_cbow_win2_dim300.model,181,0.99916184,straight fit jacket made of viscose and linen notched lapel collar and long sleeves with buttoned cuffs front welt pockets and interior pocket central back vent at hem front button closure,4
word2vec_lemmatized_cbow_win2_dim300.model,88,0.9991543,boxy fit jacket lapel collar and long sleeves with buttoned cuffs patch pockets at hip washed effectasymmetric hem with side vents front button closure,4
word2vec_lemmatized_cbow_win4_dim100.model,142,0.99912924,relaxed fit parka made of dense cotton lapel collar and long sleeves flap patch pockets at hip and interior pocket front zip hidden by a snap button flap,4
word2vec_lemmatized_cbow_win4_dim100.model,154,0.9989436,relaxed fit reversible overshirt italian collar and long sleeves with buttoned cuffs chest patch pocket front button closure,5
word2vec_lemmatized_cbow_win4_dim100.model,181,0.9988298,straight fit jacket made of viscose and linen notched lapel collar and long sleeves with buttoned cuffs front welt pockets and interior pocket central back vent at hem front button closure,4
word2vec_lemmatized_cbow_win4_dim100.model,2130,0.99882114,shirt with lapel collar and long sleeves tailored waist with side gathers front button closure,3
word2vec_lemmatized_cbow_win4_dim100.model,160,0.9987886,relaxed fit overshirt lapel collar and long sleeves chest patch pocket front snap button closure,5
word2vec_lemmatized_cbow_win4_dim300.model,142,0.9995608,relaxed fit parka made of dense cotton lapel collar and long sleeves flap patch pockets at hip and interior pocket front zip hidden by a snap button flap,4
word2vec_lemmatized_cbow_win4_dim300.model,181,0.9994313,straight fit jacket made of viscose and linen notched lapel collar and long sleeves with buttoned cuffs front welt pockets and interior pocket central back vent at hem front button closure,4
word2vec_lemmatized_cbow_win4_dim300.model,19,0.99927133,straight fit blazer made of linen notched lapel collar and long sleeves with buttoned cuffs flap pockets at hip interior pocket back vents front button closure,4
